ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
4.23, --.--,1:00,1/22/2021,,
4.82, --.--,0:45,1/22/2021,,
5.39, --.--,0:30,1/22/2021,,
5.78, --.--,0:15,1/22/2021,,
5.34, --.--,0:00,1/22/2021,,
4.38, --.--,23:45,1/21/2021,,
3.29, --.--,23:30,1/21/2021,,
2.52, --.--,23:15,1/21/2021,,
2.6, --.--,23:00,1/21/2021,,
3.07, --.--,22:45,1/21/2021,,
3.68, --.--,22:30,1/21/2021,,
4.32, --.--,22:15,1/21/2021,,
4.93, --.--,22:00,1/21/2021,,
5.54, --.--,21:45,1/21/2021,,
5.73, --.--,21:30,1/21/2021,,
4.94, --.--,21:15,1/21/2021,,
3.73, --.--,21:00,1/21/2021,,
2.62, --.--,20:45,1/21/2021,,
2.52, --.--,20:30,1/21/2021,,
3.03, --.--,20:15,1/21/2021,,
3.67, --.--,20:00,1/21/2021,,
4.36, --.--,19:45,1/21/2021,,
5.07, --.--,19:30,1/21/2021,,
5.73, --.--,19:15,1/21/2021,,
5.45, --.--,19:00,1/21/2021,,
4.14, --.--,18:45,1/21/2021,,
2.68, --.--,18:30,1/21/2021,,
2.63, --.--,18:15,1/21/2021,,
3.39, --.--,18:00,1/21/2021,,
4.3, --.--,17:45,1/21/2021,,
5.19, --.--,17:30,1/21/2021,,
5.88, --.--,17:15,1/21/2021,,
4.76, --.--,17:00,1/21/2021,,
2.94, --.--,16:45,1/21/2021,,
2.55, --.--,16:30,1/21/2021,,
3.25, --.--,16:15,1/21/2021,,
4.15, --.--,16:00,1/21/2021,,
5.04, --.--,15:45,1/21/2021,,
5.84, --.--,15:30,1/21/2021,,
5.03, --.--,15:15,1/21/2021,,
3.25, --.--,15:00,1/21/2021,,
2.5, --.--,14:45,1/21/2021,,
3.38, --.--,14:30,1/21/2021,,
3.01, --.--,14:15,1/21/2021,,
3.87, --.--,14:00,1/21/2021,,
4.78, --.--,13:45,1/21/2021,,
5.61, --.--,13:30,1/21/2021,,
5.52, --.--,13:15,1/21/2021,,
3.75, --.--,13:00,1/21/2021,,
2.49, --.--,12:45,1/21/2021,,
2.94, --.--,12:30,1/21/2021,,
3.83, --.--,12:15,1/21/2021,,
4.75, --.--,12:00,1/21/2021,,
5.61, --.--,11:45,1/21/2021,,
5.5, --.--,11:30,1/21/2021,,
3.74, --.--,11:15,1/21/2021,,
2.5, --.--,11:00,1/21/2021,,
3, --.--,10:45,1/21/2021,,
3.94, --.--,10:30,1/21/2021,,
4.88, --.--,10:15,1/21/2021,,
5.73, --.--,10:00,1/21/2021,,
5.3, --.--,9:45,1/21/2021,,
3.43, --.--,9:30,1/21/2021,,
2.48, --.--,9:15,1/21/2021,,
3.09, --.--,9:00,1/21/2021,,
3.98, --.--,8:45,1/21/2021,,
4.89, --.--,8:30,1/21/2021,,
5.73, --.--,8:15,1/21/2021,,
5.29, --.--,8:00,1/21/2021,,
3.57, --.--,7:45,1/21/2021,,
2.47, --.--,7:30,1/21/2021,,
2.96, --.--,7:15,1/21/2021,,
3.76, --.--,7:00,1/21/2021,,
4.59, --.--,6:45,1/21/2021,,
5.38, --.--,6:30,1/21/2021,,
5.79, --.--,6:15,1/21/2021,,
4.91, --.--,6:00,1/21/2021,,
3.59, --.--,5:45,1/21/2021,,
2.52, --.--,5:30,1/21/2021,,
2.67, --.--,5:15,1/21/2021,,
3.29, --.--,5:00,1/21/2021,,
4.05, --.--,4:45,1/21/2021,,
4.78, --.--,4:30,1/21/2021,,
5.49, --.--,4:15,1/21/2021,,
5.71, --.--,4:00,1/21/2021,,
4.61, --.--,3:45,1/21/2021,,
3.15, --.--,3:30,1/21/2021,,
2.48, --.--,3:15,1/21/2021,,
2.9, --.--,3:00,1/21/2021,,
3.61, --.--,2:45,1/21/2021,,
4.37, --.--,2:30,1/21/2021,,
5.12, --.--,2:15,1/21/2021,,
5.79, --.--,2:00,1/21/2021,,
5.23, --.--,1:45,1/21/2021,,
3.85, --.--,1:30,1/21/2021,,
2.56, --.--,1:15,1/21/2021,,
2.7, --.--,1:00,1/21/2021,,
3.39, --.--,0:45,1/21/2021,,
4.2, --.--,0:30,1/21/2021,,
4.98, --.--,0:15,1/21/2021,,
5.72, --.--,0:00,1/21/2021,,
5.37, --.--,23:45,1/20/2021,,
3.82, --.--,23:30,1/20/2021,,
2.51, --.--,23:15,1/20/2021,,
2.8, --.--,23:00,1/20/2021,,
3.63, --.--,22:45,1/20/2021,,
4.48, --.--,22:30,1/20/2021,,
5.33, --.--,22:15,1/20/2021,,
5.78, --.--,22:00,1/20/2021,,
4.41, --.--,21:45,1/20/2021,,
2.66, --.--,21:30,1/20/2021,,
2.79, --.--,21:15,1/20/2021,,
3.71, --.--,21:00,1/20/2021,,
4.65, --.--,20:45,1/20/2021,,
5.55, --.--,20:30,1/20/2021,,
5.5, --.--,20:15,1/20/2021,,
3.66, --.--,20:00,1/20/2021,,
2.5, --.--,19:45,1/20/2021,,
3.15, --.--,19:30,1/20/2021,,
4.13, --.--,19:15,1/20/2021,,
5.1, --.--,19:00,1/20/2021,,
5.88, --.--,18:45,1/20/2021,,
4.36, --.--,18:30,1/20/2021,,
2.53, --.--,18:15,1/20/2021,,
3.01, --.--,18:00,1/20/2021,,
4.09, --.--,17:45,1/20/2021,,
5.14, --.--,17:30,1/20/2021,,
5.85, --.--,17:15,1/20/2021,,
4.06, --.--,17:00,1/20/2021,,
2.47, --.--,16:45,1/20/2021,,
3.18, --.--,16:30,1/20/2021,,
4.24, --.--,16:15,1/20/2021,,
5.3, --.--,16:00,1/20/2021,,
5.68, --.--,15:45,1/20/2021,,
3.76, --.--,15:30,1/20/2021,,
2.51, --.--,15:15,1/20/2021,,
3.26, --.--,15:00,1/20/2021,,
4.34, --.--,14:45,1/20/2021,,
5.36, --.--,14:30,1/20/2021,,
5.62, --.--,14:15,1/20/2021,,
3.59, --.--,14:00,1/20/2021,,
2.51, --.--,13:45,1/20/2021,,
3.4, --.--,13:30,1/20/2021,,
4.52, --.--,13:15,1/20/2021,,
5.57, --.--,13:00,1/20/2021,,
5.29, --.--,12:45,1/20/2021,,
3.01, --.--,12:30,1/20/2021,,
2.68, --.--,12:15,1/20/2021,,
3.7, --.--,12:00,1/20/2021,,
4.81, --.--,11:45,1/20/2021,,
5.79, --.--,11:30,1/20/2021,,
4.77, --.--,11:15,1/20/2021,,
2.6, --.--,11:00,1/20/2021,,
2.86, --.--,10:45,1/20/2021,,
3.96, --.--,10:30,1/20/2021,,
5.04, --.--,10:15,1/20/2021,,
5.97, --.--,10:00,1/20/2021,,
