ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
3.41, --.--,13:30,2/1/2021,,
4.9, --.--,13:15,2/1/2021,,
6.04, --.--,13:00,2/1/2021,,
3.85, --.--,12:45,2/1/2021,,
2.85, --.--,12:30,2/1/2021,,
4.28, --.--,12:15,2/1/2021,,
5.57, --.--,12:00,2/1/2021,,
5.28, --.--,11:45,2/1/2021,,
2.67, --.--,11:30,2/1/2021,,
3.49, --.--,11:15,2/1/2021,,
4.93, --.--,11:00,2/1/2021,,
6.04, --.--,10:45,2/1/2021,,
4.01, --.--,10:30,2/1/2021,,
2.73, --.--,10:15,2/1/2021,,
4.05, --.--,10:00,2/1/2021,,
5.35, --.--,9:45,2/1/2021,,
5.8, --.--,9:30,2/1/2021,,
3.2, --.--,9:15,2/1/2021,,
3.03, --.--,9:00,2/1/2021,,
4.39, --.--,8:45,2/1/2021,,
5.62, --.--,8:30,2/1/2021,,
5.31, --.--,8:15,2/1/2021,,
2.77, --.--,8:00,2/1/2021,,
3.17, --.--,7:45,2/1/2021,,
4.48, --.--,7:30,2/1/2021,,
5.59, --.--,7:15,2/1/2021,,
5.43, --.--,7:00,2/1/2021,,
3.14, --.--,6:45,2/1/2021,,
2.79, --.--,6:30,2/1/2021,,
3.88, --.--,6:15,2/1/2021,,
4.96, --.--,6:00,2/1/2021,,
5.86, --.--,5:45,2/1/2021,,
5.04, --.--,5:30,2/1/2021,,
3.21, --.--,5:15,2/1/2021,,
2.66, --.--,5:00,2/1/2021,,
3.63, --.--,4:45,2/1/2021,,
4.68, --.--,4:30,2/1/2021,,
5.6, --.--,4:15,2/1/2021,,
5.56, --.--,4:00,2/1/2021,,
3.8, --.--,3:45,2/1/2021,,
2.54, --.--,3:30,2/1/2021,,
3.3, --.--,3:15,2/1/2021,,
4.36, --.--,3:00,2/1/2021,,
5.36, --.--,2:45,2/1/2021,,
5.85, --.--,2:30,2/1/2021,,
4.3, --.--,2:15,2/1/2021,,
2.67, --.--,2:00,2/1/2021,,
2.95, --.--,1:45,2/1/2021,,
3.99, --.--,1:30,2/1/2021,,
5.01, --.--,1:15,2/1/2021,,
5.89, --.--,1:00,2/1/2021,,
5, --.--,0:45,2/1/2021,,
3.18, --.--,0:30,2/1/2021,,
2.65, --.--,0:15,2/1/2021,,
3.57, --.--,0:00,2/1/2021,,
4.62, --.--,23:45,1/31/2021,,
5.58, --.--,23:30,1/31/2021,,
5.64, --.--,23:15,1/31/2021,,
4.03, --.--,23:00,1/31/2021,,
2.56, --.--,22:45,1/31/2021,,
3.05, --.--,22:30,1/31/2021,,
4.12, --.--,22:15,1/31/2021,,
5.12, --.--,22:00,1/31/2021,,
5.92, --.--,21:45,1/31/2021,,
4.95, --.--,21:30,1/31/2021,,
3.2, --.--,21:15,1/31/2021,,
2.63, --.--,21:00,1/31/2021,,
3.52, --.--,20:45,1/31/2021,,
4.53, --.--,20:30,1/31/2021,,
5.46, --.--,20:15,1/31/2021,,
5.78, --.--,20:00,1/31/2021,,
4.24, --.--,19:45,1/31/2021,,
2.7, --.--,19:30,1/31/2021,,
2.89, --.--,19:15,1/31/2021,,
3.9, --.--,19:00,1/31/2021,,
4.88, --.--,18:45,1/31/2021,,
5.73, --.--,18:30,1/31/2021,,
5.42, --.--,18:15,1/31/2021,,
3.82, --.--,18:00,1/31/2021,,
2.55, --.--,17:45,1/31/2021,,
3.14, --.--,17:30,1/31/2021,,
4.2, --.--,17:15,1/31/2021,,
5.14, --.--,17:00,1/31/2021,,
5.91, --.--,16:45,1/31/2021,,
5.02, --.--,16:30,1/31/2021,,
3.35, --.--,16:15,1/31/2021,,
2.57, --.--,16:00,1/31/2021,,
3.39, --.--,15:45,1/31/2021,,
4.37, --.--,15:30,1/31/2021,,
5.29, --.--,15:15,1/31/2021,,
5.92, --.--,15:00,1/31/2021,,
4.72, --.--,14:45,1/31/2021,,
2.99, --.--,14:30,1/31/2021,,
2.7, --.--,14:15,1/31/2021,,
3.64, --.--,14:00,1/31/2021,,
4.64, --.--,13:45,1/31/2021,,
5.52, --.--,13:30,1/31/2021,,
5.77, --.--,13:15,1/31/2021,,
4.27, --.--,13:00,1/31/2021,,
2.7, --.--,12:45,1/31/2021,,
2.9, --.--,12:30,1/31/2021,,
3.89, --.--,12:15,1/31/2021,,
4.85, --.--,12:00,1/31/2021,,
5.72, --.--,11:45,1/31/2021,,
5.45, --.--,11:30,1/31/2021,,
3.74, --.--,11:15,1/31/2021,,
2.55, --.--,11:00,1/31/2021,,
3.15, --.--,10:45,1/31/2021,,
4.16, --.--,10:30,1/31/2021,,
5.11, --.--,10:15,1/31/2021,,
5.91, --.--,10:00,1/31/2021,,
4.98, --.--,9:45,1/31/2021,,
3.2, --.--,9:30,1/31/2021,,
2.65, --.--,9:15,1/31/2021,,
3.5, --.--,9:00,1/31/2021,,
4.51, --.--,8:45,1/31/2021,,
5.4, --.--,8:30,1/31/2021,,
5.87, --.--,8:15,1/31/2021,,
4.48, --.--,8:00,1/31/2021,,
2.81, --.--,7:45,1/31/2021,,
2.78, --.--,7:30,1/31/2021,,
3.75, --.--,7:15,1/31/2021,,
4.76, --.--,7:00,1/31/2021,,
5.6, --.--,6:45,1/31/2021,,
5.63, --.--,6:30,1/31/2021,,
3.98, --.--,6:15,1/31/2021,,
2.57, --.--,6:00,1/31/2021,,
3.04, --.--,5:45,1/31/2021,,
4.03, --.--,5:30,1/31/2021,,
4.98, --.--,5:15,1/31/2021,,
5.79, --.--,5:00,1/31/2021,,
5.31, --.--,4:45,1/31/2021,,
3.66, --.--,4:30,1/31/2021,,
2.56, --.--,4:15,1/31/2021,,
3.2, --.--,4:00,1/31/2021,,
4.2, --.--,3:45,1/31/2021,,
5.18, --.--,3:30,1/31/2021,,
5.91, --.--,3:15,1/31/2021,,
4.99, --.--,3:00,1/31/2021,,
3.35, --.--,2:45,1/31/2021,,
2.59, --.--,2:30,1/31/2021,,
3.45, --.--,2:15,1/31/2021,,
4.45, --.--,2:00,1/31/2021,,
5.37, --.--,1:45,1/31/2021,,
5.9, --.--,1:30,1/31/2021,,
4.55, --.--,1:15,1/31/2021,,
2.88, --.--,1:00,1/31/2021,,
2.75, --.--,0:45,1/31/2021,,
3.74, --.--,0:30,1/31/2021,,
4.68, --.--,0:15,1/31/2021,,
5.56, --.--,0:00,1/31/2021,,
5.75, --.--,23:45,1/30/2021,,
4.22, --.--,23:30,1/30/2021,,
2.7, --.--,23:15,1/30/2021,,
2.93, --.--,23:00,1/30/2021,,
3.9, --.--,22:45,1/30/2021,,
4.86, --.--,22:30,1/30/2021,,
5.72, --.--,22:15,1/30/2021,,
5.46, --.--,22:00,1/30/2021,,
3.83, --.--,21:45,1/30/2021,,
